"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III","T.Score","T.Rank"
"azuredreams",336.358,25,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","","","","","","",215,710
"brainstorm",335.769,26,"","X","","X","","","X","","","","","","X","","","","","X","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","X","","","","X","","","","","","","","","","","","","X","","X","","","","","X",1224,163
"beargit",333.924,27,"","","X","","","","","","X","","X","","","X","","","X","","","X","","X","","","","","X","","","","","","","","","X","X","","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","","X","","","X",3918,6
"thug4l1f3",333.693,28,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","X","","","","X","","","X","","","","","X","","","","","","","X","","X","","","X","","","","","","X","","","X","","","X","","","X","","","X","","",660,337
"sribri",332.83,29,"","","X","X","","","X","","","","","","","X","","","X","","","X","","","","","X","","","X","","","X","","","","X","","X","","","","X","","","","","","","X","X","","","X","","","","","","X","","","X","","","","","X","","X","","","","X",2051,65
"brathek",327.928,30,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","","X","","","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X",3309,11
"toastedzergling",327.849,31,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","","X","","","","X","","","","","","","","","","","X","","","X","","","X","",2750,24
"walkerboh",314.283,32,"","X","","","","","","","X","","X","","X","","","X","","","","X","","","","X","","X","","","","","","","","","","","","","X","","","X","","X","","","","","","","","","X","","","","","","","","","","","X","","","","X","","","","",2494,41
"sdynet",311.708,33,"","","X","X","","","","","X","","","X","X","","","","X","","","X","","","","","X","","","X","","","","","","","","X","","","","","","X","","X","","","","","","","","X","","","","","","X","","","","","","","","X","","X","","","","X",2879,17
"staplegun",308.88,34,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","X","","","","X","","","X","","","","","","","","","","X","","","","","","","","","","","X","","","X","","","","X",2834,18
"dstrtn",299.347,35,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","",257,640
"gorglomux",298.417,36,"","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X",3233,13
"angani",294.865,37,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","X","","X","","","","","","","","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","","","","","","","","","X","","","X","","","","","",1199,167
"morganleah",294.155,38,"","","X","","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","","","X","","","X","","X","","","","","","","","X","","","","X","","","","","","X","","","","X","","","","X",2829,19
"mdvedh",293.913,39,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","X","","","","X","","","","","","","","","","X","","X","","","","X","","X","","","","","","","","","","X","","","","X","","","","","","X","","","","X","","","","X",2669,30
"gimp",284.278,40,"","X","","","","","X","","","","X","","","X","","","X","","","X","","","","","","X","","X","","","","","","","","X","X","","","","X","","","","","","","X","X","","","","","X","","","","X","","","","","","X","","","","X","","","","X",2039,66
"suckerboh",283.657,41,"X","","","","","","X","","","","X","","X","","","","","","","X","","","","","X","","","X","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","X","","","","","X","","","","","",1431,120
"uhlv",282.26,42,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","X","","X","","","","","","","","","","X","","X","","","","X","","","","","","","X","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",1923,73
"mrchinwatt",279.714,43,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","X","","X","","","X","","","","","",948,219
"neondemon",268.053,44,"","X","","","","","","","X","","X","","X","","","","X","","","X","","","","","","","","X","","","X","","","","","","","","X","","X","","","","","X","","","","X","","","","","","","","","","","","","","","X","","X","","","","","",2527,40
"enterq",260.347,45,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","X","","","","","","","","X","","","","","","X","","","","","","X","X","","","X","","","X","","","X","","","X","","","X","","","X","","","","","",1042,201
"fearitself",259.393,46,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","","","X","","","","X","","","","","","","","X","","X","","","X","","","","","","X","","X","","","","","","","","","","","","X","","","","X","","","X","",2425,43
"melvina",252.701,47,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","X","","","X","","","X","","","","","","","","","","","","","X","","","X","","","X","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",2609,36
"monsterracer",251.423,48,"","","X","X","","","","","X","X","","","","X","","","X","","","X","","X","","","X","","","","","","X","","","","","X","X","","","","","X","","","","","","","X","","","X","","","","","","","","","","","","","X","","","X","","","","X",2619,35
"manman",249.865,49,"","","X","X","","","","","X","X","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","X","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","X",4276,3
"television",247.385,50,"","","X","","","","","X","","","","X","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","","","X","","","","","","","","","","","","X","X","","","","","X",2741,25
"laularukyrumo",245.886,51,"","X","","","","","X","","","X","","","X","","","","","X","","X","","","","","","","","X","","","","","","","","","","X","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","X","","X","","","","","",581,374
"lasty",243.388,52,"","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","X","","","","","","","","","","","X","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","X","","","X",2936,16
"gooddemon3",238.207,53,"","X","","","","","X","","","","X","","","X","","","","","","X","","","","","X","","","X","","","","","","","","X","X","","","","X","","","","","X","","","","X","","X","","","","","","X","","","X","","","X","","","X","","","","","",1678,87
"rbrandon",234.624,54,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","X","","X","","","","","","","","","X","","","","X","","","X","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",2130,59
"chish",232.999,55,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","X","X","","","","","","X","","","","","","X","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","X","","X","","",1615,97
"thaneod",232.684,56,"","","X","X","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","X","","","","X","","","X",2089,60
"mrplanck",232.296,57,"","X","","","","","","X","","X","","","X","","","X","","","","X","","","","","","","X","","","","X","","","","","","","","X","","X","","","","","","","","","X","","X","","","","","","","","","","","","X","","","","X","","","","",2329,49
"stonar",229.038,58,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","X","","","","","X","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",1157,179
"surr",222.192,59,"","X","","","","","","","X","","X","","X","","","X","","","","X","","","","","","X","","X","","","X","","","","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","","","","","","","X","","","","X","","","","",2724,27
"tself55",214.442,60,"","X","","X","","","","","X","","X","","","X","","X","","","","X","","","","","","","X","","","","","","","","","X","","","","","","X","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","X","","",2704,29
"stickyfingers",213.721,61,"","X","","","","","","X","","","X","","X","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","X","","","","","","","","X","","","","X","","","","",1702,85
"hellonello",210.642,62,"","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","","X","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","",2373,47
"bhh",207.933,63,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","","","","","","","","","X","","","","","X","","","X","","","","","X","","","","X","","","","","X","","","","","","","X","","","X","","","X","",2217,55
"mibe",207.62,64,"","","X","X","","","","","X","X","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","X","","","","X","","","","X",3709,8
"likado",203.668,65,"","","X","","","","X","","","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","X","","","","X","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","X","",2783,21
"doesnt",202.2,66,"","X","","","","","X","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","X","","","X","","","X","","","X","","","","","X","","","","","","","X","","X","","","","","","X","","","X","","","","X","",1387,129
"bazoo",201.864,67,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","","X","","","","","","X","","","","","","","","","","X","","","","","","","X","X","","","","X","","","","","","","","","","","X","","","","X","","","X","",2066,63
"aviak",198.117,68,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","","X","","X","","","","","","","","X","X","","","","","X","X","","","X","","","X","","","","X","","X","","","X","","","","","","X","","","","X","","","","",1382,132
"watermold",197.57,69,"","X","","","","","","X","","","X","","","X","","X","","","","X","","","","","","","X","","","","X","","","","","X","","","X","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","",2592,37
"zkyp",197.083,70,"","X","","X","","","","X","","","X","","","X","","X","","","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","","",2817,20
"placid",197.074,71,"X","","","X","","","X","","","","X","","X","","","","","","X","","","","","X","X","","","X","","","","","","","","","","","","","","X","X","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",1072,192
"ajaj",196.906,72,"","X","","","","","X","","","","","X","","X","","","X","","","X","","","","","X","","","X","","","X","","","","X","","","","X","","X","","X","","","X","","","X","","","","X","","","","","","","","","","","X","","","","X","","","X","",2038,67
"tlatlagkaus",196.75,73,"","","X","X","","","X","","","","","X","","X","","","X","","","X","","","","","","","","X","","","","","","","","X","","","X","","X","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","X","","","X","",2085,61
"jjjjhere",188.466,74,"","X","","","","","","","X","","X","","","X","","","","","","X","","","","","","","X","","","","","","","","","X","","","","","X","","","X","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","",2457,42
"vo280",186.866,75,"","","X","X","","","X","","","","","","X","","","","X","","","X","","","","","X","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","X","","","","X","","","X",1453,118
"dolemite99",185.155,76,"","X","","","","","","X","","","","","X","","","X","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","X","","","","","","X","","X","","","","","","","","","","","","X","","","","X","","","","",1654,93
"ge0ff",182.869,77,"","","X","","","","","X","","","X","","X","","","","X","","","X","","","","","","X","","X","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","X",2624,33
"vanveen",179.975,78,"","X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","","X","","","","X","","","","X","","X","","","X","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X",2374,46
"tickenest",176.926,79,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","X","","X","","","","","X","","","","X","","","X","","","","","","","","","","","X","","","X","","","","","",1381,133
"ggul007",175.157,80,"","","X","","","","","X","","","","X","X","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","","","","X","","X","","","","","X",1991,71
"dominolapin",173.814,81,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","","","","X","","X","","","","X","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",2151,57
"theanonym",172.373,82,"","","X","","","","X","","","","X","","X","","","","X","","","X","","","","","","X","","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","X",2724,27
"ducks72",172.125,83,"","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","X","","","","X","","","","","X","","","","","","","X","","","X","","","X","",2728,26
"ksagri",170.87,84,"","","X","","","","","X","","X","","","X","","","","X","","","X","","","","","","X","","X","","","","","","","","X","X","","","","","X","","","","","","","X","","","X","","","","","","","","","","","","","X","","","X","","","","X",2589,38
"tittycrusher",169.966,85,"","X","","X","","","","X","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","X","","X","","","","","","","","X","","","","X","","","","","","","","","","","","","X","X","","","","X","",2271,53
"realz",169.412,86,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","X","","","","X","","","","","","","","","X","","","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","",2025,68
"dialectric",169.227,87,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","X","","","","","","","","X","","","","X","","X","","",715,312
"lifeff",166.334,88,"","X","","X","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","","X","","","","","X","","","X","","","","","","","","","X","","","","","X","","","","","","X","","","","X","","","","X",1711,83
"shadowablaze",165.641,89,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","X","X","","","","","","","","","","","X","","","","","X","","","X","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",872,243
"faldahar",165.115,90,"","X","","","","","X","","","X","","","","X","","","X","","","X","","","","","","X","","","","","X","","","","","","X","","","","X","","","","","","","","","","","X","","","X","","","","","","","","","","X","","","X","","","","X",1955,72
"pedant",164.021,91,"X","","","","","","","X","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","","","","","","","","X","","","","","","","","","X","","X","","","","","","X","","","","","","X","","","X","","","","","",2148,58
"normalperson7",161.186,92,"","","X","X","","","X","","","X","","","","X","","","X","","","X","","","","","X","","","","","","","","","","","X","","","","","X","","","","","X","","","X","","","X","","","X","","","","","","","","","X","","","","X","","","","X",2365,48
"ktgrey",161.103,93,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","","X",2650,32
"nino",161.061,94,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","X","","","X","","","","X","","","","X","","X","","","","","","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","",1633,95
"silenth",159.234,95,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","X","X","","","X","","","","","","","X","","X","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",1005,208
"dustman",158.581,96,"","X","","","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","X","","","","","","","","","","X","","","","","X","","","X","","","","X","","","","","X","","","","","","","X","","","X","","","","X",1464,115
"barbarian",152.542,97,"","X","","X","","","X","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","","X","","","X","","","","","X",1282,153
"4tharraofdagon",151.166,98,"","X","","","","","X","","","","","X","X","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","","X","","X","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","",1407,125
"jannitor",151.122,99,"X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","X","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","X","","","","","",382,480
"ajoehail",150.771,100,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","X","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","","","",363,500
"puimur",148.456,101,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","X","","","","","","","X","","","X","","X","","","","","","X","","","","","","","","X","","","","X","","","","","","","X","","","X","","","X","",1147,182
"thswjddnr",147.234,102,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X",2001,70
"vomitron",145.421,103,"","X","","X","","","","X","","X","","","","X","","X","","","","X","","","","","X","","","X","","","","","","","","X","","","","","","X","","","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","X","",2017,69
"tidbits",144.864,104,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","X","","","","","X","","","","X","","","X","","","","X","","","","","X","","","X","","","X","","","X","","","","","",1478,112
"axe",144.381,105,"","X","","X","","","X","","","X","","","","X","","","X","","","X","","X","","","X","","","","","","X","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","","","","","","","","X","","X","","","","","X",1362,135
"ytcomultraviolent4",141.741,106,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","","X","","","","","","","","","","","X","","","X","","","X","X","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",2622,34
"iksarhs",141.104,107,"","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","X","","","X","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",2256,54
"skryme",140.765,108,"","X","","X","","","X","","","X","","","X","","","X","","","","X","","X","","","X","","","X","","","","","","","","","X","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","","X","","","X","","X","","",1031,203
"rgaf",137.734,109,"","X","","X","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","","","","","","","","","X","","","","","","X","X","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","X","","",1620,96
"pepper",134.998,110,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","","","","","","","","X","","X","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","X","","","","",870,244
"daviar",133.531,111,"","X","","","","","X","","","","X","","","X","","","","","","X","","","","","X","","","","","","","","","","X","","","X","","","X","","X","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","X","","","","","",1072,192
"kaiser",130.335,112,"X","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","","","","","","X","","","X","","","","","",328,546
"gerad",129.675,113,"","X","","","","","X","","","X","","","","X","","X","","","","X","","X","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",1401,127
