"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III","T.Score","T.Rank"
"ccs",74.142,187,"X","","","","","","X","","","","X","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","","X","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",979,215
"odiv",73.681,188,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","","","","",763,289
"leeig",73.311,189,"","X","","X","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","X","","","X","",1354,137
"haldmier",73.299,190,"","X","","X","","","X","","","X","","","X","","","","X","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","X",1173,174
"quayzong",72.937,191,"","X","","","","","","X","","X","","","X","","","","","","","X","","","","","X","","","","","","","","","","X","","","X","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",1394,128
"ketziah",72.9,192,"","X","","","","","","","","","","","X","","","","","","","X","","","X","","","","","X","","","","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","",815,269
"nkul",72.196,193,"","X","","","","","X","","","X","","","X","","","X","","","","X","","X","","","X","","","","","","","","","","","","","X","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",650,339
"cthulhuhoop",71.48,194,"","X","","X","","","","X","","","","","","X","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","",1345,138
"iwannabefree",70.503,195,"","","X","","","","X","","","X","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","X","","X","","","","X","",1649,94
"loopi",69.852,196,"","X","","X","","","","","","","X","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","","","X","","","X","","","X","","",857,251
"datul",69.38,197,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","X","","","X","","","","","","X","","","","X","","","","",1296,151
"marsu",68.739,198,"","X","","","","","X","","","X","","","","X","","","","","","X","","","","","X","","","","","","X","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","","","",1672,89
"fv001",68.418,199,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","","",1100,188
"moonhoon",68.01,200,"","X","","X","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X",1225,162
"candlesan",67.836,201,"","X","","","","","","X","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","X","","X","","","","","X",1714,82
"kwakdy1322",67.759,202,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","X","","",791,277
"emtedronai",67.35,203,"","X","","X","","","","","","","X","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","X",1161,177
"forgeling",67.202,204,"","X","","X","","","","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","X","","X","","","","X","",1318,148
"gaball",67.139,205,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","X","","","","","","","","","","","X","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","X","","",1572,104
"polly",66.729,206,"","X","","X","","","","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","X","","X","","","","","X",730,304
"sirrick",66.635,207,"","X","","","","","","","","","X","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","X",1053,197
"ganima",66.31,208,"X","","","","","","","","","X","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","",411,461
"strat",66.151,209,"","X","","X","","","X","","","","","","","X","","X","","","","X","","","","","","","","","","","","","","","","X","X","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",1098,189
"100p",65.691,210,"X","","","","","","X","","","","","","X","","","X","","","","X","","X","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","","",482,415
"asanbosam",64.933,211,"","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","X","","","","","","","","","","","",155,853
"prozacelf",63.959,212,"X","","","","","","X","","","X","","","X","","","","","","X","","","","X","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",264,628
"kenran",63.93,213,"","X","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","X","",1152,180
"bookman",63.682,214,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",1427,122
"allrandomalldemise",62.082,215,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","","X","","","X","","X","","","","","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","",1119,185
"iamoutofideas",62.009,216,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","",215,710
"mirygol",61.923,217,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",1223,164
"pushok",61.808,218,"X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","X","","","","","",279,602
"izverg",61.679,219,"X","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","",85,1116
"leibowitz",61.679,220,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","",304,573
"plussizemalemodel",61.565,221,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","X","","","","","","","","","","","",274,614
"enish",61.52,222,"X","","","","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",833,260
"thewayofallflesh",61.182,223,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","X","","","","","",476,418
"apogee",61.035,224,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","","X","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",857,251
"linjason",60.997,225,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","X",885,237
"simonmoon",60.415,226,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","X","","","","X","",1428,121
"remembernootab",59.625,227,"X","","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","X","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","","X","","","","","","","",352,516
"vaamat",59.589,228,"X","","","","","","","","","X","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","","","","X","","","","","",363,500
"vegansnacktivist",59.222,229,"","X","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","","X","","X","","","","","",766,285
"bed",59.206,230,"X","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","","","","","","","","",205,733
"alcopop",58.773,231,"","X","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","X","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","","","",1245,159
"nicoed",58.442,232,"","X","","X","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","",648,344
"duckroller",58.23,233,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","",531,389
"hilariousdeathartist",57.917,234,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","X","","X","","","","","","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","",324,551
"sporophyte",57.786,235,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","",1516,107
"djent",57.59,236,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","","","",332,544
"rjrrt",57.426,237,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","X","","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","","X","","X","","","","","",958,218
"rrauwl",57.293,238,"","X","","","","","X","","","","","","X","","","X","","","","X","","X","","","X","","","X","","","","","","","","","X","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",859,249
"walruslord",57.23,239,"","X","","X","","","X","","","X","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","","X","","X","","","","","",551,383
"cosaga5",57.055,240,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","X","",1019,207
"josipe",56.578,241,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","",283,596
"cerran",56.471,242,"X","","","","","","X","","","X","","","X","","","","","","X","","","","X","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",921,231
"rephenryclay",56.445,243,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","X","","","","","X","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",839,257
"f0rbidden",56.089,244,"X","","","X","","","","X","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","",1327,145
"nxtlvl",55.77,245,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","","","",35,1453
"eyebeam",55.479,246,"X","","","","","","X","","","X","","","X","","","","","","X","","","","X","","X","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","","","",234,676
"xight",55.318,247,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","",240,665
"danakh",55.272,248,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","X","","X","","","X","","","","","","","","","","","","","","","","","","","","",125,953
"floofywoof",55.26,249,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",986,213
"pekkekk",55.164,250,"","X","","","","","","X","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",1593,99
"bees",55.022,251,"","X","","","","","X","","","","","","X","","","X","","","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",1002,209
"tenshin",54.289,252,"","X","","X","","","X","","","","","","","X","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","X","","",744,298
"enhl",53.319,253,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",781,281
"moocowpong2",52.45,254,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","X","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","",1001,211
"malchor",52.418,255,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",1167,175
"skk",52.344,256,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","","",594,369
"snelelg",52.311,257,"","X","","X","","","","","","","X","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",979,215
"squigly",51.971,258,"X","","","X","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","X","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",467,424
"dmnsn",51.63,259,"X","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","",494,407
"raiza",51.383,260,"","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","X","","X","","","","X","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",883,238
"soloshadow",51.319,261,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","X","","X","","","","","","","","","","","","X","","","","","","","","","","","","","X","","X","","","","","",426,446
"newst",51.229,262,"X","","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","X","","",938,222
"emerc2",51.088,263,"X","","","","","","","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","",755,292
"danielguo94",50.947,264,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","X",1333,142
"cabbagehands",50.929,265,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","X","","","","","","","","","X","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","X","",1327,145
"znke",50.821,266,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","X","","","X","","X","","",622,352
"rkdn42",50.655,267,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","X","",827,263
"ldf",50.463,268,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","X","","X","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","","","X",842,255
"frostedmuffins",49.986,269,"","X","","","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","","X","","","","","","","","","","","X","","","X","","","X","","",1318,148
"canard",49.484,270,"","X","","","","","X","","","","X","","X","","","","","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",1478,112
"awoo",49.242,271,"","X","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",926,227
"alphasco",49.11,272,"","X","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","","X",766,285
"garrluk",48.201,273,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","","X","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","",684,329
"komo4ek",47.871,274,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","",235,674
"dani",47.799,275,"","X","","X","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","X","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","","","","X","","","","","",1793,79
"playitleo",47.585,276,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","X","","","","","","","X","","X","","","X","","",689,326
"caco",47.411,277,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","X","","",544,387
"tasonir",47.023,278,"","X","","","","","","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","X","",1899,74
"shadowmage952",46.651,279,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","","X","",1148,181
"mrflay",46.644,280,"X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",50,1332
"faca",46.513,281,"","X","","","","","","X","","X","","","X","","","","","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",1176,171
"jehirs",46.451,282,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","X","X","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",810,272
"mrdesaussure",46.443,283,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","X","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",765,287
"pkoi",46.405,284,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","X","","","","X","","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",980,214
"isock",46.249,285,"X","","","","","","X","","","","","","","X","","","","","","X","","","","","","","","X","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",513,399
"civil",46.232,286,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","",1146,183
"yore",46.21,287,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X",1200,166
"snubmonkey",45.896,288,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","",1176,171
"redsky",45.77,289,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",875,242
"esper6",45.667,290,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",304,573
"coolguy69",45.42,291,"X","","","","","","X","","","","","","X","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",410,464
"thalfon",44.746,292,"X","","","","","","","X","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",1229,161
"dungeonking",44.589,293,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",606,363
"jmglibera",44.508,294,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",882,239
"grumpd",44.437,295,"X","","","","","","","","","","","","X","","","","","","","X","","","X","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",262,634
"noblelogik",44.243,296,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",716,311
"craenm",43.838,297,"X","","","","","","X","","","","","","X","","","","","","","X","","X","","","X","","","","","","","","","","","","X","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",993,212
"huckle",43.158,298,"X","","","","","","","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","",268,620
"salmon",42.66,299,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","",603,364
"kibaces",42.471,300,"X","","","","","","","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","X","","",613,359
"tosi1",42.421,301,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","X","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","X","","",520,393
"aubilenon",41.97,302,"X","","","","","","X","","","","","","X","","","","","","","X","","X","","","","","","","","","","","","","X","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","",1027,205
"squip",41.69,303,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","X","","X","","","X","","",484,412
"nubinia",41.287,304,"","","","","","","","","","","","","X","","","","","","X","","","X","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",105,1032
"lanoc",41.253,305,"X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",334,539
"nebukadnezar",41.128,306,"","X","","","","","","","","X","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","X","",1333,142
"cerealjynx",40.711,307,"","X","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","X","","",540,388
"cliffracer",40.487,308,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","",1591,101
"mikee",40.46,309,"","X","","","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",1051,198
"theswoord",40.176,310,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","","","",898,234
"lessens",40.173,311,"X","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","X","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","",1413,124
"platinum",40.108,312,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",1384,131
"lordlovebone",39.697,313,"","X","","","","","","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","X","","X","","","X","","",484,412
"archon2",39.428,314,"X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","X","","X","","","X","","",472,420
"cephied0",39.427,315,"","X","","","","","X","","","","X","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","",805,274
"jganora",39.29,316,"","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","",245,659
"astronautguy",39.237,317,"","X","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","","X","","",511,401
"8fpsbossfight",39.176,318,"","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",155,853
