Name                         Score      Rank   T.Score    T.Rank
kmx                         29.118       837       307      1007
jess                        29.033       838       388       852
legitstew                   29.013       839       140      1459
esekla                      28.979       840       335       944
fourba                      28.971       841       542       689
omg                         28.940       842       299      1017
theelusivetrout             28.918       843       782       550
typeaskee                   28.918       843       702       598
personalfowl                28.865       845       145      1441
hax                         28.860       846       350       917
plazmod                     28.779       847       425       798
flameaway                   28.768       848       327       961
gnome                       28.768       849       718       586
heintsi                     28.768       849      1011       420
neetthing                   28.762       851       229      1180
harshax                     28.761       852       479       746
ratty                       28.668       853       610       655
blah                        28.649       854       333       949
loom                        28.649       854       417       809
zombiesheep                 28.621       856       762       564
swaggedbymom                28.600       857       250      1123
mustachioooo                28.358       858       454       768
rokudenashi                 28.358       858       479       746
nightblair                  28.353       860       747       569
mobydollar                  28.313       861       906       469
foatgucker                  28.214       862       245      1135
srsbznz                     27.968       863       160      1396
mg7810                      27.949       864       234      1164
francorys                   27.917       865       986       432
biasface                    27.843       866       406       824
mirrorencyclopedia          27.751       867       457       764
triskal                     27.538       868       135      1487
swilhelm                    27.470       869       534       694
glaeka                      27.413       870       145      1441
drazt1k                     27.410       871       245      1135
meatyocre                   27.302       872       502       722
ciphuk                      27.295       873       278      1070
airetmc                     27.281       874       225      1187
almacia                     27.281       874       240      1147
styxcanada                  27.127       876       823       521
angelasmythe                27.083       877       318       983
elizilla                    27.001       878       299      1017
ykky                        26.986       879       368       886
salasann                    26.981       880       520       704
gemini00                    26.950       881       649       630
ceb                         26.897       882       308      1002
silverer                    26.865       883       421       799
plgatc                      26.849       884       350       917
burntoutdruid               26.789       885       507       717
steforg                     26.771       886       125      1528
bzzz                        26.764       887       420       803
yogidamonk                  26.742       888       427       794
unlimitedfusion             26.688       889       390       850
lunarharp                   26.660       890       721       582
bluedave                    26.651       891       140      1459
krigyl                      26.651       891       268      1087
ystaelle                    26.579       893       383       857
britaniac                   26.488       894       466       759
gressup                     26.488       894       372       880
yooby                       26.488       894       348       921
raguz                       26.471       897       321       974
ezendos                     26.429       898       860       500
runemage                    26.234       899       431       791
quinnr                      26.092       900       363       900
terra52                     26.069       901       398       835
rb                          25.945       902       626       646
movingmist                  25.942       903       165      1376
confessionsofamasc          25.879       904       394       843
emelye                      25.845       905       200      1259
mtoz                        25.822       906       796       534
lunkers                     25.796       907       205      1244
bobthecannibal69            25.775       908       971       444
catfishman                  25.672       909       864       497
sparkswifty                 25.672       909       750       567
toffzen                     25.672       909       796       534
menacingmecha               25.580       912      1035       411
baril                       25.527       913       378       864
hobbes                      25.509       914       794       540
savior361                   25.484       915       392       848
berryknight                 25.332       916       353       909
slep                        25.332       916       225      1187
xxsatanxx                   25.332       916       265      1091
zdeegee                     25.310       919       311       998
nornya                      25.118       920       289      1041
deadlykitten                25.096       921       365       898
ahorribleplayer             25.042       922       155      1410
fairytaker                  25.029       923       478       748
goodxknight                 24.971       924       827       520
jimmahdean                  24.962       925       962       449
malkierking                 24.912       926       760       565
tv1990                      24.912       926       772       557
tkappleton                  24.882       928       150      1430
christhawk                  24.872       929       180      1326
zargo                       24.766       930       858       503
clm                         24.747       931       254      1114
frothycoffee                24.707       932      1276       333
teenaku                     24.704       933       436       788
bananafolds                 24.419       934       287      1056
jermanator181               24.267       935       238      1157
setbun                      24.251       936       333       949
elluwrath                   24.211       937       293      1030
sirkenneth                  24.169       938       593       666
howlingfantods              24.157       939       324       966
adept                       24.148       940       400       831
kave                        24.148       940       373       876
ovaltinejones               24.148       940       329       957
tildeath                    24.148       943       150      1430
jlipinski                   24.071       944       130      1504
oplop                       24.068       945       130      1504
destil                      24.066       946       412       816
kevinyang101                24.048       947       737       572
drumil                      24.024       948       718       586
grindst0ne                  24.024       949       368       886
lekart                      24.017       950       314       990
rexxy                       23.941       951       250      1123
stanlydoodrich              23.875       952       715       591
flobflarker2                23.863       953       155      1410
xlukarx                     23.747       954       363       900
finalsalamander             23.736       955       904       470
jejorda2                    23.639       956       260      1098
morgoth                     23.639       956       397       838
metacosm                    23.555       958       200      1259
rosewoodpip                 23.478       959       234      1164
landmaster                  23.428       960       200      1259
raine357                    23.401       961       125      1528
afbluenear                  23.390       962       292      1036
quazifuji                   23.317       963        85      1728
flt                         23.297       964       454       768
aaeron                      23.260       965       343       931
thermosaquaticus            23.195       966       835       514
taran                       23.188       967       832       516
johnstein                   23.158       968       735       574
microfolk                   23.106       969       523       701
denis1488                   23.042       970       235      1158
1viktor                     22.881       971       321       974
thrayn                      22.840       972       691       603
evildrag                    22.668       973       235      1158
schimscham                  22.668       973       288      1047
demiham                     22.622       975       736       573
sertorius                   22.622       976       120      1553
turgon                      22.543       977       350       917
peteyfrogboy                22.459       978       115      1581
liquorice                   22.454       979       205      1244
foxy                        22.424       980       318       983
lobsterguardian             22.369       981       373       876
gruud                       22.304       982       362       902
galeswift                   22.293       983       773       555
cciulla                     22.236       984       510       713
chrlz                       22.236       984       388       852
sekko                       22.129       986       268      1087
arcanemastermind            22.024       987       476       751
fitz                        22.024       987       396       841
kegs                        22.024       987       404       825
llamajah                    22.024       987       515       708
lovekoma                    22.024       987       441       781
mcsquinty                   22.024       987       407       823
tordini                     22.024       987       367       891
demiskeleton                21.912       994       155      1410
cloudwyvern                 21.879       995       740       571
charan                      21.858       996       324       966
qoala                       21.857       997       120      1553
scypho                      21.817       998       772       557
ghouzt                      21.809       999       180      1326
socksu                      21.758      1000       929       461
docclef                     21.698      1001       314       990
ketzopolo                   21.611      1002       878       488
rjaguar3                    21.587      1003       313       994
tboon                       21.555      1004       554       683
regeox                      21.484      1005       225      1187
ryw                         21.484      1005       190      1293
undersol                    21.406      1007       180      1326
antares                     21.316      1008       320       978
robby                       21.316      1008       250      1123
coldbreeze                  21.295      1010       282      1063
nataq                       21.275      1011       115      1581
jacer                       21.270      1012       230      1175
zetsub0u                    21.269      1013       165      1376
maximusg                    21.156      1014       393       846
ohmyrofl                    21.156      1014       323       969
vinniefish                  21.156      1014       378       864
ggrgd                       21.136      1017       394       843
asss                        21.113      1018       391       849
negitausen                  21.052      1019       333       949
sweeb                       20.960      1020       292      1036
grom234                     20.947      1021       335       944
imbanned                    20.940      1022       207      1243
lunath                      20.765      1023       229      1180
garanhir                    20.728      1024       263      1096
krazykat                    20.709      1025       485       739
exporg                      20.597      1026       377       868
flotson                     20.596      1027       230      1175
troglodite                  20.596      1027       215      1214
drock42                     20.511      1029       255      1112
hanfgeist                   20.500      1030       325       964
ryco                        20.475      1031       287      1056
dilpil                      20.462      1032       303      1014
jdpr                        20.462      1032       404       825
soup                        20.461      1034       185      1310
zazu2006                    20.378      1035       155      1410
vovahuhaifa                 20.351      1036       120      1553
hildebrand                  20.307      1037       462       761
toadflinger                 20.307      1037       377       868
acluon                      20.293      1039       496       729
aphrodieselac               20.293      1039       260      1098
diojeanne                   20.293      1039       367       891
draznyth                    20.293      1039       284      1059
lampshaded                  20.293      1039       343       931
raph                        20.293      1039       372       880
taxman66                    20.293      1039       404       825
dracomuter                  20.249      1046       828       517
yoster                      20.210      1047       314       990
soepske                     20.206      1048       100      1652
proccom                     20.133      1049       588       668
bofadeez                    20.078      1050       195      1276
rhandor                     20.057      1051       358       906
mixolyde                    20.045      1052       445       777
crelarid                    20.038      1053        45      2015
fiddlefuck                  19.958      1054       233      1168
baljet                      19.947      1055       333       949
grinninglion                19.947      1055       330       956
jesusflecha                 19.947      1055       299      1017
mukkel                      19.947      1055       344       930
gregunderscorem             19.939      1059       145      1441
cyndaking                   19.927      1060        60      1888
kingkept                    19.885      1061       371       883
graouh                      19.836      1062       199      1271
nanban                      19.836      1062       180      1326
roguerain17                 19.836      1062       325       964
clownkicker                 19.790      1065       621       649
navarre85                   19.790      1065       806       531
railbird80                  19.761      1067       190      1293
cruithne                    19.629      1068       190      1293
erevain                     19.623      1069       200      1259
felidhatlover               19.623      1069       225      1187
spacecar                    19.623      1069       229      1180
pinechild                   19.606      1072        80      1752
uranussolar                 19.572      1073       220      1205
nilsyn                      19.549      1074       115      1581
cecky                       19.537      1075       382       859
nelagend                    19.537      1075       508       714
cheese                      19.467      1077       169      1373
vatarom                     19.440      1078       185      1310
bombasticus                 19.404      1079       333       949
craftbrews                  19.404      1079       279      1066
jsanborn                    19.404      1079       265      1091
pixllover                   19.404      1079       245      1135
princeofdonkeys             19.404      1079       397       838
shenda                      19.404      1079       360       905
clauth                      19.324      1085       350       917
hrodulf                     19.231      1086       110      1605
petesuhpizza                19.202      1087       243      1143
c0l                         19.194      1088       254      1114
puffin                      19.192      1089       387       855
griphon                     19.186      1090       718       586
ijustatesigmund             19.117      1091       287      1056
chavenet                    19.108      1092       200      1259
johns                       19.026      1093       348       921
ricardofg                   19.026      1093       439       785
theoldman                   19.026      1093       446       773
f48djsko2ifjx               18.985      1096       618       651
mcpwn                       18.985      1096       701       599
bumaa                       18.928      1098       367       891
hellse                      18.928      1099       279      1066
erch1                       18.848      1100       345       928
brew9                       18.829      1101       415       812
ck1fx                       18.763      1102       323       969
terrapin                    18.723      1103       457       764
zhngchq                     18.723      1103       487       737
eskilway                    18.681      1105       150      1430
avis                        18.652      1106       205      1244
wafflepants                 18.652      1106       259      1104
kzierhut                    18.604      1108       135      1487
undo                        18.594      1109       773       555
buthix9                     18.587      1110       165      1376
dracos369                   18.533      1111       367       891
radicalhijinx               18.492      1112       282      1063
dootley                     18.449      1113       253      1116
howech                      18.442      1114       125      1528
jernau                      18.442      1114        60      1888
principatus                 18.439      1116       230      1175
shenanigans                 18.395      1117       263      1096
berahthraban                18.389      1118       253      1116
jynx                        18.389      1118       185      1310
drewskiskiski               18.346      1120       401       829
erasmuswaits                18.345      1121       288      1047
mrdizzy                     18.306      1122       239      1151
ponchio                     18.306      1122       175      1348
banto                       18.283      1124       248      1128
filfer                      18.260      1125       105      1631
1player                     18.221      1126       245      1135
argmax                      18.221      1126       289      1041
garbled                     18.221      1126       419       805
breadth                     18.142      1129       250      1123
abcddd                      18.103      1130       169      1373
thedethijs                  18.062      1131       175      1348
zarni                       18.009      1132       260      1098
lukarsbuttslave             18.003      1133       334       948
mezmerelda                  18.003      1133       289      1041
satonakaja                  18.003      1133       293      1030
professor                   17.957      1136        80      1752
aredel                      17.930      1137       130      1504
bromont                     17.879      1138       283      1060
myrmidette                  17.879      1138       274      1077
zoloft                      17.879      1138       293      1030
llamajesus                  17.848      1141       200      1259
vitna                       17.812      1142       218      1209
koolguydude                 17.775      1143       268      1087
nulldivider                 17.768      1144       165      1376
chopperjohnny               17.753      1145       139      1486
ignatius881                 17.712      1146       210      1228
dark4449                    17.643      1147       331       955
dakvas                      17.629      1148       240      1147
geo                         17.629      1148       200      1259
scuka                       17.629      1148       278      1070
stolas                      17.629      1148       175      1348
muataran                    17.620      1152       731       576
jinxremoving                17.586      1153       307      1007
christiangoth               17.546      1154       205      1244
inarius                     17.461      1155       412       816
narkly                      17.461      1155       353       909
tehanu                      17.461      1155       270      1083
hilaritas                   17.448      1158       170      1364
xordid                      17.415      1159       195      1276
oroborous                   17.301      1160       130      1504
worstw                      17.288      1161       292      1036
milestone                   17.283      1162       190      1293
megaslime                   17.279      1163       808       529
darthra                     17.247      1164       328       959
erg                         17.233      1165       308      1002
morsrattus                  17.215      1166       145      1441
toxicsyntax                 17.211      1167       631       644
lovchig                     17.197      1168       343       931
alphacentauri               17.174      1169       855       504
kb10r                       17.153      1170       110      1605
gorbigon                    17.127      1171       668       619
lventropy                   17.120      1172       234      1164
racque                      17.040      1173       160      1396
smody                       17.040      1173       155      1410
grocchini                   17.039      1175       190      1293
vwvwvwv                     17.024      1176       140      1459
crl                         16.974      1177        75      1777
keetraxx                    16.902      1178       352       914
mustardman                  16.873      1179       170      1364
nixnut                      16.863      1180       645       634
pchan                       16.802      1181       443       779
qeurul                      16.802      1181       394       843
asthiss                     16.741      1183       170      1364
draknab                     16.741      1183       165      1376
beardtony                   16.718      1185       204      1256
tseptdre                    16.698      1186       272      1081
verestin                    16.691      1187       195      1276
dohliylev                   16.663      1188       179      1343
lostintranslocation         16.515      1189       288      1047
nothus                      16.446      1190       313       994
cosmicafro                  16.362      1191       214      1223
gildeon                     16.328      1192        80      1752
madasgardian                16.321      1193       652       628
clumber                     16.314      1194       215      1214
fortybot                    16.314      1194       233      1168
tab2death                   16.314      1194       379       862
xnavy                       16.286      1197       427       794
revjd                       16.284      1198       125      1528
mavenl                      16.221      1199       297      1023
callous                     16.205      1200        75      1777
dyzzy                       16.202      1201       313       994
operationiv                 16.202      1201       233      1168
stormphoenix                16.202      1201       248      1128
herod                       16.182      1204       115      1581
funkydoodledandy            16.157      1205       115      1581
johnnyevilguy               16.112      1206       673       615
rupin                       16.112      1206       666       621
soberaf                     16.105      1208       190      1293
thedoctor                   16.105      1208       115      1581
axecop                      16.099      1210       260      1098
bande                       16.099      1210       293      1030
bowmetheus                  16.096      1212       446       773
jebus                       16.096      1212       377       868
kalaber                     16.096      1212       508       714
vulpy                       16.096      1212       488       732
bigball                     16.056      1216       174      1361
glamhuggeren                15.968      1217       110      1605
wiilli                      15.968      1217        95      1678
andrew                      15.931      1219       335       944
dsb250                      15.931      1219       298      1021
pzskc383                    15.931      1219       318       983
farquar                     15.912      1222       327       961
obsidianbottle              15.888      1223       372       880
ketsa                       15.869      1224       356       908
werew                       15.855      1225       180      1326
mckennaii                   15.770      1226       110      1605
fish                        15.723      1227       165      1376
lux767                      15.717      1228       195      1276
tef                         15.642      1229       130      1504
patrickh                    15.609      1230        35      2133
kinya10                     15.585      1231       195      1276
bishop36                    15.581      1232       135      1487
clweeks                     15.557      1233       259      1104
oki                         15.557      1233       180      1326
return0                     15.509      1235       185      1310
g4llowsc4l1br4tor           15.508      1236        95      1678
icys                        15.505      1237       793       541
misericorde                 15.466      1238        85      1728
sicily                      15.353      1239       223      1199
brknglss                    15.345      1240       243      1143
dang3rdave                  15.339      1241       210      1228
dnn91                       15.339      1241       195      1276
garth                       15.339      1241       165      1376
mino                        15.339      1241       125      1528
sankara                     15.339      1241       225      1187
w1173i                      15.339      1241       288      1047
dscm                        15.291      1247       255      1112
tynka                       15.232      1248       160      1396
3rune                       15.171      1249       357       907
aeraethus                   15.171      1249       309      1001
bogue1979                   15.043      1251       160      1396
missprince                  15.043      1251       100      1652
brutalitops                 14.991      1253       125      1528
mef                         14.967      1254       200      1259
paulina                     14.965      1255       125      1528
cashew                      14.956      1256       670       617
porpoise                    14.956      1256       629       645
tansarue                    14.956      1256       632       643
pooshlmer                   14.907      1259       294      1028
donwell                     14.837      1260       198      1274
razgard                     14.837      1260       189      1306
bisonman                    14.797      1262       225      1187
warped                      14.797      1262       179      1343
tuf08440                    14.721      1264       220      1205
poohbear                    14.630      1265       278      1070
businessscrub               14.588      1266       180      1326
mazzystar                   14.588      1266       185      1310
jboons                      14.583      1268       210      1228
matticus                    14.583      1268       215      1214
jeeks                       14.547      1270       602       657
dauus                       14.533      1271       303      1014
heh                         14.533      1271       140      1459
milambit                    14.533      1271       200      1259
peloso                      14.533      1271       269      1085
viperous                    14.504      1275       351       916
asiagounicorn               14.451      1276       190      1293
beingjoemalik               14.451      1276       195      1276
nem                         14.451      1276       224      1197
tramtrist                   14.451      1276       235      1158
voland                      14.451      1276       253      1116
weerde                      14.451      1276       239      1151
cranach                     14.428      1282       159      1407
ijontichy1                  14.428      1282       144      1455
belltower                   14.408      1284       140      1459
cybersaint2k                14.401      1285       130      1504
wulfston                    14.401      1285       180      1326
aciddrop                    14.365      1287       240      1147
bairyn                      14.365      1287       398       835
deifeln                     14.365      1287       377       868
myopia                      14.365      1287       321       974
saka                        14.365      1287       380       860
sanboga                     14.365      1287       295      1026
syneil                      14.365      1287       379       862
theelss                     14.365      1287       308      1002
uncleshelby                 14.365      1287       308      1002
poni89                      14.339      1296       213      1226
angmar                      14.325      1297       110      1605
endorz                      14.290      1298       155      1410
mordororchid                14.272      1299        50      1972
crossentropy                14.259      1300       115      1581
rexlacerta                  14.227      1301       130      1504
nvts8a                      14.220      1302       145      1441
epen                        14.192      1303       239      1151
lucifer                     14.192      1303       223      1199
harriot                     14.144      1305       248      1128
bobson                      14.105      1306        95      1678
mackthefife                 14.031      1307       707       596
merkolit                    14.024      1308       253      1116
miek                        14.024      1308       332       954
worldfamousw                14.024      1308       189      1306
wait                        13.989      1311       307      1007
arithrix                    13.975      1312       307      1007
marcia                      13.975      1312       297      1023
ontamu                      13.974      1314       233      1168
drenieon                    13.859      1315       210      1228
subada                      13.833      1316        45      2015
tensugalgo                  13.811      1317       155      1410
xenophilius                 13.783      1318       215      1214
bdeadly                     13.698      1319       195      1276
brokenglass                 13.698      1319       190      1293
no0bjke                     13.698      1319       145      1441
casualchangeling            13.641      1322       175      1348
harunobu                    13.641      1322       185      1310
reuben                      13.631      1324       140      1459
elan                        13.602      1325       170      1364
dragonlass                  13.565      1326       200      1259
hellmel                     13.565      1326       278      1070
pigah                       13.565      1326       175      1348
renifell                    13.565      1326       115      1581
nerdlyhaxor                 13.432      1330       282      1063
typee                       13.432      1331       278      1070
oberontea                   13.402      1332       140      1459
chalrif                     13.315      1333       787       545
gonk                        13.267      1334       253      1116
possum                      13.267      1334       253      1116
rule42                      13.267      1334       180      1326
zombofob                    13.267      1334       180      1326
letos                       13.168      1338       120      1553
sprint                      13.168      1338       184      1322
anacleto                    13.123      1340       160      1396
dazliare                    13.099      1341       185      1310
musashi                     13.099      1341       210      1228
cam                         13.086      1343       125      1528
samog                       13.086      1343       174      1361
craycraysider               13.053      1345       160      1396
fessempty                   13.023      1346       259      1104
chiseanne                   12.863      1347       232      1173
roguesci                    12.836      1348        80      1752
setherick                   12.835      1349       235      1158
kroki                       12.798      1350       165      1376
keat06                      12.759      1351       220      1205
samfromsteam                12.753      1352       145      1441
trckry                      12.742      1353        60      1888
zorkdork                    12.742      1353       110      1605
rcreutzb                    12.724      1355       225      1187
beanieboyaka                12.677      1356       140      1459
flinch                      12.677      1356       105      1631
zed                         12.677      1356       239      1151
splatt                      12.666      1359       726       580
fargo                       12.658      1360        80      1752
ikki                        12.516      1361       165      1376
kirano666                   12.508      1362       272      1081
afeyhwan                    12.507      1363       210      1228
banquo                      12.507      1363       283      1060
valrus                      12.507      1363       298      1021
zxpr0jk                     12.507      1363       288      1047
killer1                     12.479      1367       110      1605
greatstarguy                12.464      1368        90      1696
forxom                      12.340      1369        95      1678
theoretic                   12.333      1370       165      1376
kellsagain                  12.326      1371       145      1441
littlecub                   12.257      1372       585       669
sleepymichael               12.257      1372       599       658
silurio                     12.250      1374       135      1487
cral                        12.243      1375       110      1605
experimilk                  12.243      1375       215      1214
ghostplantbio               12.243      1375       248      1128
gigax                       12.243      1375       264      1094
manyhoops                   12.243      1375       185      1310
p15712                      12.243      1375       215      1214
sarak                       12.243      1375       215      1214
severenx                    12.243      1375       310       999
spif                        12.243      1375       210      1228
steelneuron                 12.243      1375       140      1459
syader                      12.243      1375       210      1228
topspot                     12.243      1375       185      1310
yggdrasil                   12.243      1375       160      1396
hat                         12.229      1388       175      1348
kickascii                   12.200      1389       130      1504
gullveig                    12.172      1390       140      1459
tux                         12.172      1390        65      1846
kalstrams                   12.170      1392       130      1504
crawlcharacter              12.075      1393       362       902
dfrag                       12.075      1393       377       868
eyevdivs                    12.075      1393       411       818
jlc4533                     12.075      1393       260      1098
thejollyroger               12.075      1393       313       994
whitephoenix                12.069      1398       125      1528
nszabo                      12.068      1399       337       941
photex                      12.031      1400        10      2467
dtsund                      12.000      1401       135      1487
umoon                       12.000      1401       155      1410
democracy123                11.904      1403        75      1777
phong                       11.860      1404       145      1441
nikheizen                   11.859      1405       232      1173
jarrodb                     11.789      1406       120      1553
agonhex                     11.701      1407       200      1259
agustin                     11.701      1407       180      1326
anchorite                   11.701      1407       268      1087
cleverid                    11.701      1407       317       989
crawlwizard667              11.701      1407       243      1143
dangdung                    11.701      1407       283      1060
imganon                     11.701      1407       205      1244
jaeger                      11.701      1407       234      1164
legnej                      11.701      1407       185      1310
morgon                      11.701      1407       279      1066
owlicus                     11.701      1407       305      1013
zleub                       11.701      1407       110      1605
zureal                      11.701      1407       205      1244
poulshu                     11.658      1420       296      1025
unholydonuts                11.658      1420       247      1134
xiongnu                     11.658      1422       105      1631
ataraxzy                    11.626      1423       195      1276
kramin                      11.626      1423       179      1343
kreakdude                   11.626      1423       140      1459
mefis                       11.626      1423       135      1487
oldnick                     11.626      1423       135      1487
soadsod                     11.583      1428       253      1116
myelinatedaxon              11.569      1429       205      1244
deszczowiec                 11.493      1430       194      1288
dindles                     11.493      1430       179      1343
jakeorap                    11.493      1430       134      1503
plasmo                      11.493      1430       228      1184
razawaza                    11.493      1430       119      1579
zhaine                      11.493      1430       228      1184
killhouse                   11.458      1436       110      1605
malin                       11.423      1437       130      1504
xetaxheb                    11.382      1438       155      1410
bigjilm                     11.378      1439       115      1581
curvedsteel1                11.356      1440       120      1553
lilicarose                  11.356      1440       130      1504
notmyleg                    11.312      1442        45      2015
nucleardonut                11.312      1442       120      1553
clovenhoof                  11.286      1444       110      1605
bovrilthebat                11.143      1445       337       941
dungeonlord                 11.118      1446       199      1271
heatzeker                   11.114      1447        60      1888
anklez                      11.112      1448       145      1441
noobcanoe                   11.062      1449        50      1972
vyssna                      11.062      1449        35      2133
shornthesheep               11.061      1451       155      1410
wendy                       11.036      1452        90      1696
frank                       11.010      1453       120      1553
buttermilk                  10.981      1454        65      1846
djehuti                     10.979      1455       100      1652
syraniss                    10.979      1455       140      1459
vanclaymore                 10.979      1455       140      1459
slayr                       10.962      1458       115      1581
cryptlord                   10.892      1459       514       711
overquick                   10.892      1459       483       741
ahub                        10.879      1461       190      1293
zorot                       10.879      1461        75      1777
stone                       10.866      1463       155      1410
bazinga                     10.809      1464       200      1259
goshheckie                  10.809      1464       165      1376
pista233                    10.809      1464       120      1553
tannergorman14              10.809      1464       145      1441
rauder                      10.777      1468       100      1652
brandu                      10.775      1469       175      1348
gunter174                   10.733      1470       288      1047
sedition                    10.733      1470       214      1223
srs                         10.705      1472       115      1581
tehfrederick                10.705      1472        85      1728
shotgun1337                 10.667      1474        10      2467
chromemolly                 10.602      1475       205      1244
shamelessbrick              10.583      1476        70      1817
jjlee                       10.546      1477       215      1214
rageheart7                  10.546      1477       110      1605
shutuppercut                10.546      1477       180      1326
sneeker134                  10.546      1477       140      1459
george                      10.535      1481        65      1846
mnloleg                     10.469      1482       169      1373
nukbomb                     10.469      1482       165      1376
paracusia                   10.469      1482       105      1631
kdw980508                   10.455      1485       110      1605
buttbrigade                 10.337      1486       278      1070
docet                       10.337      1486       248      1128
hpp3                        10.337      1486       248      1128
ogrillon                    10.337      1486       322       973
zephron84                   10.163      1490       100      1652
acoo                        10.128      1491       288      1047
flaminglnfernal             10.128      1491       100      1652
kakashihatake               10.128      1491       110      1605
kharauder                   10.128      1491       115      1581
molotove                    10.128      1491       100      1652
suddenbreakfast             10.128      1491       203      1257
ciderspiders                10.060      1497        90      1696
docj                        10.060      1497       239      1151
jerkops                     10.060      1497       125      1528
sfr                         10.060      1497       205      1244
ahrinia                     10.024      1501       155      1410
blarg                       10.004      1502       210      1228
donglino                    10.004      1502       210      1228
molotovdodgeball             9.993      1504       125      1528
boodz                        9.951      1505       150      1430
crub                         9.928      1506       125      1528
910rd                        9.927      1507        95      1678
banach                       9.927      1507       189      1306
buskinjo                     9.927      1507       244      1142
dylex                        9.927      1507       224      1197
knex                         9.927      1507       165      1376
misterpig                    9.927      1507       218      1209
pokedragonboy                9.927      1507       160      1396
slavik159                    9.909      1514        60      1888
domi                         9.901      1515       135      1487
hrdain                       9.852      1516       105      1631
seerskye                     9.810      1517       521       702
ac13                         9.795      1518       115      1581
guenter                      9.795      1518        75      1777
edgefigaro                   9.697      1520        15      2390
tylertfb                     9.697      1520        25      2256
staren                       9.686      1522        60      1888
murkyfrogboy                 9.647      1523       130      1504
ryosujin                     9.647      1523        95      1678
sunshinecid                  9.647      1523        90      1696
aaassd9                      9.645      1526        95      1678
ololoev                      9.604      1527        60      1888
flyleaff                     9.582      1528        90      1696
tyrsky                       9.420      1529       115      1581
bargorn                      9.411      1530       150      1430
bjoernd                      9.411      1530       175      1348
creaw                        9.411      1530       269      1085
dolapius                     9.411      1530       214      1223
fourfacedrat                 9.411      1530       194      1288
fuzzwah                      9.411      1530       180      1326
geed                         9.411      1530       190      1293
ghoradinn                    9.411      1530       180      1326
greenocha                    9.411      1530       195      1276
isthral                      9.411      1530       258      1107
lengardol                    9.411      1530       223      1199
marcb3                       9.411      1530       273      1080
masterjacques                9.411      1530       140      1459
nestalgia                    9.411      1530       165      1376
nr616                        9.411      1530       239      1151
oofta                        9.411      1530       130      1504
orcfodder                    9.411      1530       185      1310
packetloss                   9.411      1530       189      1306
quasichaos                   9.411      1530       170      1364
ryblade                      9.411      1530       190      1293
skunkjim                     9.411      1530       288      1047
twogrow                      9.411      1530       258      1107
vodalian                     9.411      1530       170      1364
xfalz                        9.411      1530       225      1187
goldendragon                 9.369      1554       342       938
fessempty2                   9.368      1555       223      1199
garbaje                      9.368      1555       229      1180
handsy                       9.368      1555        85      1728
krim                         9.368      1555       293      1030
piginabag                    9.338      1559        60      1888
jod                          9.244      1560       100      1652
dornbeast                    9.217      1561       120      1553
hoohaw                       9.181      1562        80      1752
ultrashaft                   9.181      1562       155      1410
nytris                       9.170      1564        50      1972
littcuttar                   9.105      1565        85      1728
josimjosim                   9.092      1566       110      1605
zero                         9.092      1566       135      1487
zppfan                       9.092      1566       120      1553
plug98                       9.066      1569        70      1817
seriousvitamin               9.066      1569       125      1528
tiamat                       9.066      1569       120      1553
wertz                        9.066      1569        45      2015
bravepunisher                9.037      1573        60      1888
shmesh                       9.035      1574       150      1430
walkernash                   9.035      1574        80      1752
billboardbarry               8.911      1576        85      1728
stephenfoster                8.911      1576        85      1728
gryphonrising                8.905      1578       105      1631
zacerdocio                   8.905      1578       100      1652
ashen                        8.861      1580        25      2256
archon                       8.772      1581       130      1504
csikos                       8.772      1581       145      1441
krabocopter                  8.772      1581       180      1326
pfcuttle                     8.772      1581       140      1459
varedna                      8.772      1581       130      1504
dylan                        8.563      1586        75      1777
iamchewy                     8.563      1586        95      1678
rabbitfr                     8.563      1586       193      1292
salculd                      8.563      1586       144      1455
larett                       8.524      1590       125      1528
dosil                        8.431      1591        80      1752
kalir                        8.431      1591        85      1728
princesspwny                 8.286      1593       155      1410
saltisreal                   8.286      1593       175      1348
rocko1345                    8.230      1595       140      1459
smocul                       8.178      1596        80      1752
gazorpazorpfield             8.154      1597        65      1846
gg19                         8.154      1597        60      1888
handsome                     8.154      1597        90      1696
ranglespleeg                 8.154      1597       125      1528
talkingcatjazzcat            8.154      1597       125      1528
thesharpest11                8.154      1597        95      1678
gomac                        8.149      1603        60      1888
bryanlewis                   8.047      1604       223      1199
deadestbob                   8.047      1604       155      1410
ealon                        8.047      1604       307      1007
goodboy                      8.047      1604        90      1696
hisonoko                     8.047      1604       258      1107
serax                        8.047      1604       175      1348
shard1697                    8.047      1604       135      1487
jeedimahstah                 8.045      1611        80      1752
topfpflanze                  7.973      1612        50      1972
fartbutt                     7.946      1613       150      1430
lorrdernie                   7.943      1614        90      1696
operationurus                7.943      1614       120      1553
execc                        7.875      1616        95      1678
nocturnal                    7.873      1617        70      1817
fmammal2                     7.804      1618        75      1777
briggs                       7.770      1619       190      1293
fortyrogue                   7.770      1619        75      1777
i1guy                        7.770      1619       130      1504
mdefp                        7.770      1619       155      1410
quarterback16                7.770      1619       120      1553
remliel                      7.770      1619       110      1605
theferret                    7.770      1619       110      1605
athros                       7.751      1626        50      1972
getyeflask                   7.751      1626        65      1846
mesmaeker13                  7.751      1626        95      1678
psiredeye22                  7.751      1626        30      2186
nrimman                      7.727      1630       100      1652
