Name                         Score      Rank   T.Score    T.Rank
thewayofallflesh           163.292       187      1966       174
odds                       163.284       188      2775        79
volgon99                   163.061       189       843       510
cerran                     162.567       190      1694       232
faca                       162.147       191      1553       265
ketziah                    161.895       192      1886       188
rrauwl                     161.316       193      1174       361
pepper                     160.557       194      1262       338
mikee                      160.536       195      2723        89
keipra                     160.339       196      1840       194
backslashecho              159.910       197      1688       234
mandevil                   159.058       198      1981       171
rogsnak                    158.433       199      1425       296
removed                    157.805       200      3044        59
miyamura                   157.585       201      1218       349
shadowmage952              157.291       202      2509       108
melvinkitnick              157.006       203      1091       391
ajoehail                   156.708       204       353       909
hubbles                    156.125       205      1292       329
wimpyranger                153.543       206      1751       212
bimmylee                   153.479       207      2277       130
platinum                   150.873       208      2498       111
astronautguy               150.864       209      1892       187
axe                        149.765       210      1412       298
ws                         148.882       211      2028       160
bonjourvilecrotch          147.920       212      1360       314
agentgt                    147.689       213      1620       249
vojta                      146.752       214      2233       135
captblasto                 146.145       215      2025       161
cerulescent                144.106       216      1713       226
glass                      143.607       217      1033       412
trog                       143.146       218       488       732
thenoid                    143.081       219      2302       126
unrecovered                142.470       220      2287       128
dani                       142.090       221      2680        93
mtvsty1e                   142.034       222      1427       295
nkul                       141.152       223      1119       381
happinesssam               140.371       224      1054       400
kaiser                     140.054       225       373       876
lasiacemobile              139.753       226      2287       128
esper6                     139.362       227      1598       254
ces                        139.322       228       498       727
iwannabefree               138.915       229      2768        80
enegeticocto               137.927       230      1106       386
quayzong                   136.728       231      1687       235
elliptic                   136.114       232      2047       157
uiopuipo                   135.525       233      1804       198
someflowers                135.525       234      1145       371
spacey                     135.512       235      1489       282
playitleo                  134.671       236      1596       255
estick                     134.621       237      1716       223
lexackson                  134.059       238      2300       127
phindah                    133.103       239      1708       228
huckle                     132.136       240      1928       179
ewwic                      132.119       241      1437       292
astralzenith               131.587       242      2432       115
ldf                        131.261       243      2140       145
duckroller                 130.914       244      1044       404
ninetaledfox               130.679       245       903       471
gameguard                  130.547       246      1797       200
dunwichhorror              130.420       247      2040       158
redsky                     128.926       248      2107       147
caco                       128.368       249      2275       131
coron                      127.315       250      1970       173
haileris                   126.650       251       555       681
ragingrage                 126.006       252      1896       185
slitherrr                  123.804       253      1622       248
irqconflict                123.741       254       979       438
brujo666                   123.509       255      1499       278
alphazook                  122.911       256      1402       302
ziggurnaut                 122.020       257      1743       217
ponce                      121.653       258      2054       155
askala                     121.286       259      1071       395
rjrrt                      121.230       260      1366       313
prozacelf                  120.975       261      1118       382
craenm                     120.660       262      2271       132
papilio                    120.627       263       421       799
lansh                      120.415       264      1548       266
rhok                       120.077       265      1751       212
armakuni                   119.550       266      1410       299
letownia2                  119.491       267      1000       425
zhorgal                    119.222       268      1562       260
findleman                  117.857       269       875       489
mandarbmax                 117.844       270       638       638
thalfon                    117.119       271      2002       165
math                       117.019       272      1444       288
marsu                      116.944       273      1926       180
quell                      116.483       274       933       456
irum                       115.799       275      1467       284
arkorax                    115.211       276      1558       263
ssteam                     115.097       277      1523       271
0nlymegazig                115.015       278       657       627
yore                       114.513       279      1781       205
tcjsavannah                114.493       280      1995       169
rassilon                   113.358       281      1110       384
loopi                      113.142       282      1167       362
punpun                     112.859       283      2001       166
heteroy                    112.307       284      1788       202
malchor                    111.828       285      2010       164
lysistrata                 111.582       286      1466       285
sirrick                    111.474       287      1659       240
slowgraham                 111.267       288      2001       166
edsrzf                     111.227       289       450       770
datul                      109.557       290      1711       227
mrdesaussure               109.403       291      1136       375
cfbundy                    109.274       292      1742       219
asdu                       108.750       293       783       548
raystar                    108.542       294      1629       245
braks                      108.491       295       294      1028
bees                       107.774       296      1748       214
nkym                       107.320       297      1759       210
nicoed                     106.745       298      1501       276
grumpd                     106.467       299       902       474
kenran                     106.063       300      1634       243
malcoda                    105.835       301      1039       407
schwaakari                 105.574       302      1050       402
blownbattery               105.204       303      1186       355
haru                       102.510       304      1241       340
duvessa                    102.435       305      1355       317
sstrickl                   101.983       306       903       471
newst                      101.981       307      1515       273
josipe                     101.677       308       810       527
asanbosam                  101.332       309       787       545
nattefrost                 101.247       310      1777       206
brandom                    101.146       311      1894       186
polarlight                 101.111       312      1982       170
exolun                     100.406       313      1354       318
pekkekk                    100.170       314      2153       142
plantmann                   99.994       315      1062       397
yamstis                     99.744       316      1084       393
leeig                       99.611       317      1404       301
epdtry                      99.500       318      2108       146
nmf                         99.022       319       845       508
awoo                        98.985       320       977       440
bohadi                      98.682       321       930       460
haldmier                    98.179       322      1287       330
necromancer                 97.796       323      1066       396
canard                      97.599       324      1785       203
rwhughston                  97.283       325      1821       196
joy1999                     96.699       326      1966       174
erikthered                  96.585       327       670       617
civil                       96.451       328      1224       346
moocowpong2                 96.418       329      1260       339
helmschank                  96.355       330      1748       214
exorcist                    96.199       331      1746       216
mansion                     96.124       332      1717       222
juggler                     95.896       333      1472       283
dungeonking                 95.629       334       765       562
techfiend                   95.548       335      1783       204
oper0120                    95.128       336       885       482
megalobster                 94.423       337      2023       162
glaas                       94.209       338      1979       172
fazisi                      94.149       339      1706       230
charmandara                 94.146       340       999       426
dorian                      93.931       341      1360       314
dirtsage                    93.886       342      1654       241
damiac                      93.138       343      1846       193
fv001                       93.095       344      1336       322
insane59                    92.643       345      1609       252
dormouse1001                91.098       346      1099       389
aaron                       90.747       347       970       445
danielguo94                 90.611       348      1955       177
crut                        90.265       349      1510       274
freelander                  90.228       350       545       688
dungeoneer27                89.477       351      1734       221
842165b                     89.445       352      1899       184
manul                       89.280       353       185      1310
woofmater                   89.151       354      1589       256
jesse99                     88.744       355       996       428
rebellionbird               88.265       356      1280       331
ccs                         88.161       357       979       438
rippar                      87.975       358       977       440
matthes123                  87.839       359      1367       311
nagnazul                    87.739       360      1054       400
lessens                     87.677       361      1767       209
guppyfry                    87.663       362      1227       345
bolko                       87.055       363       795       537
topfpfpflanze               87.052       364       471       754
cosaga5                     86.946       365      1396       303
windshieldviper             86.890       366      1358       316
rebelfire                   86.834       367       569       676
