"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"suomimenusko",39.387,515,"","X","","","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","",""
"lukano",39.234,516,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","","X","","","X","","","",""
"spaghetti",39.219,517,"X","","","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","",""
"lepermessiah",39.125,518,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","X","","","X","","","","","X"
"brahma",39.123,519,"X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"loom",39.055,520,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"SomeFlowers",38.987,521,"","X","","","","","X","","","X","","","X","","","","","","","X","","X","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","","",""
"geewiz",38.884,522,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","X","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"lazycnw",38.693,523,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","",""
"tryptr",38.666,524,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","","",""
"Acetwo5",38.661,525,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","X","",""
"Medar",38.657,526,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","X","","","","","","","X","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","",""
"feelmyfire",38.639,527,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","","X","","","X","","","X",""
"sasquatch",38.521,528,"X","","","","","","X","","","X","","","X","","","","","","X","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"dragonlass",38.512,529,"X","","","","","","","","","X","","","X","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Ryco",38.47,530,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","",""
"Guenter",38.306,531,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","",""
"SetecAstronomy",38.285,532,"","X","","","","","","X","","X","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"leobuilt",38.198,533,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","X","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Dipster",38.144,534,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","X",""
"Exaltedone87",38.11,535,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","","",""
"agentchuck",38.098,536,"","X","","","","","X","","","","","","X","","","","","","","X","","X","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","",""
"arivia",37.997,537,"X","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","","",""
"drewskiskiski",37.708,538,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","","","","","","X","","","X","","","X","","","","","","","",""
"Spurious",37.679,539,"X","","","","","","X","","","","","","X","","","","","","X","","","","X","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","","",""
"Laan",37.634,540,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Kriby",37.531,541,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"siprus",37.521,542,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"CardTrick",37.518,543,"","X","","","","","X","","","X","","","","X","","","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"Nothus",37.513,544,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"usscaptain",37.476,545,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","X","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","",""
"LokiBrotherOfThor",37.442,546,"X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"shitimlost",37.228,547,"X","","","","","","","","","X","","","","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","",""
"estick",36.996,548,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"patheticliltramp",36.796,549,"X","","","","","","","","","","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","",""
"Queshclam",36.769,550,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","X","","X","","","","",""
"dricus",36.757,551,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"corehhhhh",36.452,552,"X","","","","","","X","","","X","","","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Febz",36.304,553,"X","","","","","","X","","","","","","X","","","X","","","","X","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"cybersaint2k",36.24,554,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","",""
"LordSloth",36.231,555,"","X","","","","","X","","","","X","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"GrooTheWanderer",36.189,556,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","","",""
"fakerfangirl",35.998,557,"X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","X","","","","","","","","","","X","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","",""
"darkestones",35.988,558,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","X","","X","","","","",""
"Chago123",35.862,559,"X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","","","","","","","X","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"clweeks",35.724,560,"X","","","","","","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"DreamGalloper",35.505,561,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"agooddog",35.474,562,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","","","","","","","X","","","","","","X","","","X","","","","","X"
"azarias",35.471,563,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"SevenSeeds",35.451,564,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"FrostedMuffins",35.309,565,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","","X","","X","","","X","",""
"Lightli",35.157,566,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","",""
"skittles",35.156,567,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","X","","","X","","","","",""
"Numknucks",35.105,568,"","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","",""
"lunkers",35.049,569,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","X","","","","","","","X","","","X","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","",""
"MrLimpet",34.941,570,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"mitch45678",34.884,571,"X","","","","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","X","","","","","","X","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","",""
"dobroeutro",34.56,572,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","X","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","",""
"ChaseSP",34.355,573,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"eld",34.086,574,"","X","","","","","X","","","","","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","X","",""
"aithe4ngel",34.032,575,"X","","","X","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","","X","","X","","","","",""
"OutrageousFun",34.022,576,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Exporg",33.999,577,"X","","","X","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Feirund",33.788,578,"X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"George",33.703,579,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"Drakenburg",33.648,580,"X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","",""
"humperndinck",33.594,581,"X","","","X","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"DocJ",33.591,582,"","X","","","","","X","","","","","","","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","X","","X","","","X","",""
"Morgon",33.373,583,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","X","",""
"functor",33.362,584,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"linjason",33.349,585,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","",""
"Juudaz",33.328,586,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","X"
"agricola",33.271,587,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","X","",""
"Valmet",33.226,588,"X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Banquo",33.174,589,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","",""
"MirrMurr",33.094,590,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"snowy",33.071,591,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","",""
"joy1999",32.875,592,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","X","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Bananafish1988",32.821,593,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","X","",""
"kewadin",32.81,594,"X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Mrebitz",32.81,594,"X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Silurio",32.795,596,"X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","","",""
"Cruella",32.787,597,"X","","","","","","","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","X","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","",""
"Gobbopathe",32.701,598,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","X","","","X","","","","","","","","","X","","","","",""
"ojw",32.604,599,"","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","","",""
"Cryogen",32.527,600,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","","",""
"Almacia",32.505,601,"X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","","","","X","","","X","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","","",""
"frobop",32.497,602,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","",""
"dpeg",32.438,603,"X","","","","","","","","","X","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","","","","",""
"krigyl",32.34,604,"X","","","","","","X","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","X","","","","",""
"hungryneko",32.161,605,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","X","",""
"Scuka",32.147,606,"X","","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","X","",""
"Nagnazul",32.126,607,"X","","","","","","","X","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"DeadlyKitten",32.018,608,"","X","","","","","X","","","","","","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","X","","X","","","","",""
"Kosschaser",31.895,609,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"ksh1040",31.828,610,"","X","","","","","","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","X","","X","","","X","",""
"ZombieSheep",31.758,611,"","X","","","","","","","","X","","","","X","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","X","","","",""
"theodb",31.729,612,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","","","X","","","X","","","","",""
"Rocke",31.582,613,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","","",""
"mandarbmax",31.568,614,"X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","X","","","","","","X","","","X","","","","","","X","","","","","","","","","","","","","",""
"maxxx",31.474,615,"","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","",""
"Kazimir",31.451,616,"X","","","","","","X","","","","X","","X","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","","",""
"gressup",31.292,617,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","",""
"SevenDeadlySins",31.236,618,"","X","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","",""
"Schimscham",31.235,619,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","",""
"HUIXAX",31.134,620,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","",""
"ArcMage",31.1,621,"X","","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Collect0em0all",31.016,622,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","","",""
"Voodoofly",30.967,623,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"BlindSquirrel",30.923,624,"","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","",""
"gosunero",30.872,625,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Hasart",30.825,626,"","X","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"edilaic",30.754,627,"X","","","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"josefromcouch",30.698,628,"X","","","","","","X","","","X","","","X","","","","","","","X","","X","","","X","","","","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","","","","","","","","","","X","","","","",""
"Elbereth",30.691,629,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","X","","X","","","","",""
"nightstar",30.676,630,"","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","X","","","X","","","","",""
"Jerry",30.656,631,"X","","","","","","","X","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","",""
"Shinoi",30.565,632,"X","","","","","","X","","","X","","","X","","","","","","","X","","","","","X","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Nightblair",30.464,633,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Soyweiser",30.185,634,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Voxish",30.156,635,"","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","",""
"AlphabetPasta",30.126,636,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","X","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","","",""
"Deathclocker",30.1,637,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","",""
"Anduranha01",30.02,638,"","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","",""
"CrazyArbalest",29.971,639,"X","","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","X","","","X","",""
"howlingfantods",29.805,640,"X","","","","","","X","","","","","","X","","","","","","","X","","","X","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","",""
"christhawk",29.757,641,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","X","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Gorice",29.691,642,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","X","","X","",""
"Urami",29.67,643,"X","","","","","","X","","","X","","","X","","","","","","X","","","X","","","","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"freeshrugs",29.363,644,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Csikos",29.355,645,"","X","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","X","",""
"PBDoughboyy",29.254,646,"","X","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"Moanerette",29.236,647,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","X","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","","",""
"Fairytaker",29.231,648,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"dodododo",29.211,649,"X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","","","","X","","","","",""
"jmsaunde",29.172,650,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","X","",""
