"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"qw",538.821,25,"","","X","X","","","","X","","","X","","","","X","","X","","","X","","","","","","","X","","","","X","","","","","X","","","X","","","X","","","X","","","","X","","","X","","","","","X","X","","","","","","","X","","","","X","","","X"
"YTcomUltraviolent4",481.034,26,"","","X","X","","","","","X","","","X","","X","","","X","","","X","","X","","","","","X","X","","","X","","","","","X","","","X","","","X","","","X","X","","","X","","","","","X","","","","X","","","","X","","X","","","","","X","","","X"
"thatJJthatGod",471.557,27,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","X","","","X","X","","","","","","","","X","","","X","","X","","","X","","X","","","","","","","X","","","","X","X","","","","","","","","X","","","X","","","X"
"koboldina",466.975,28,"","","X","","","","","","X","X","","","","X","","","X","","","","X","","","","","","X","X","","","X","","","","","X","","","X","","","X","","X","","","","","X","","","","X","","","","","X","","","X","","","","","X","","","X","","","X"
"hexaflexagon",432.633,29,"","","X","","","","","","X","","X","","","X","","","X","","","X","","","","X","","","X","X","","","","","","","","","","","X","","X","","","","X","","","","","X","","","","X","","","","","","","","","","","","X","","X","","","","X"
"Hellonello",430.102,30,"","X","","","","","","","X","","X","","","","X","X","","","","X","","","","X","","","X","X","","","","","","","","X","","","X","","X","","","","X","","","","X","","","","","X","","","","X","","","","","","","","X","","X","","X","",""
"VeronicaDemononica",428.869,31,"","","X","","","","","X","","","","X","","X","","","X","","","X","","","","","","X","","X","","","","","","","","","X","","","","","X","","X","","X","","","X","","","","","X","","","X","X","","","X","","","X","","","","X","","","X",""
"ggul001",410.007,32,"","","X","","","","","X","","","","X","","X","","","X","","","","X","","","","","X","","X","","","X","","","","X","","","","X","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","","","X","","","X","","","X"
"tlatlagkaus",404.185,33,"","","X","X","","","","X","","","","X","","","X","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","","","X","X","","","X","","","","","","","","X","","","X","","","X"
"Demise",394.755,34,"","","X","","","","","","X","","X","","","","X","","X","","","X","","","","","","","X","","","","X","","","","","X","","","X","","","X","","X","","","","","X","","","X","","","","","","X","","","","X","","","X","","","","X","","","X"
"bluepin",384.997,35,"","","X","","","","","X","","","","X","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","","X","","","X","","X","","","","X","X","","","","","X","X","","","","","","","","","","X","","","X","","","","X"
"Raine357",384.564,36,"","X","","","X","","X","","","X","","","","X","","X","","","","X","","","X","","X","","","X","","","X","","","","","X","X","","","","X","","X","","","","X","","X","","","X","","","X","","","X","","","X","","","X","","","","X","","","",""
"minmay",359.729,37,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","X","","","","","X","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","X","","","","","X","","","","","","","","X","","","X","","","X"
"nikheizen",358.714,38,"","","X","X","","","","","X","","","X","","X","","","X","","","X","","","","X","","","X","X","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","","","X","","","","X","","","","","","X","","","","","X","","","X"
"edgefigaro",355.748,39,"","","X","X","","","","X","","","","X","","X","","","X","","","X","","","X","","","X","","X","","","","","","","","X","","","X","","","X","","","X","","","","","X","","X","","","","","","","","","","","","","X","","","X","","","","X"
"mopl",352.668,40,"","X","","","X","","X","","","","X","","","X","","X","","","","X","","","","","X","","","X","","","","","","","","X","X","","","","","X","","","","","X","","X","","","X","","","X","","","X","","","","","","X","","","","X","","","X",""
"Tegga21",348.523,41,"","","X","","X","","","X","","","X","","","X","","","X","","","X","","X","","","","","X","","","","","","","","X","","","","X","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"tself55",342.428,42,"","","X","X","","","","X","","","","X","","X","","","","X","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","","","X","","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X"
"Gerad",336.347,43,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","","X","","X","","","","","X","","","","X","","","X","","","X","","X","","","X","","","","","X","","","","X","","","","","","X","","","","","X","","","X"
"toastedzergling",334.825,44,"","","X","X","","","","X","","","","X","","","X","","X","","","X","","X","","","","","X","X","","","","","","","X","","","","X","","","X","X","","","X","","","X","","","","","X","","","","X","","","","","","X","","","","","X","","","X"
"won",330.848,45,"","","X","","","","","","X","","X","","","X","","","X","","","X","","","X","","","X","","X","","","","","","","X","","","","X","","","X","","","X","X","","","","","","X","","","","","","X","","","","","","","","X","","","X","","","X"
"Sphara",330.01,46,"","","X","","","","","","X","","","X","","X","","","X","","","X","","","","X","","","X","","","","","","","","","X","","","X","","","X","","X","","","","","X","","","","","X","","","","","","","","","","","X","","","X","","","X",""
"Lochraine",327.887,47,"","","X","","","","","","X","","","X","","X","","","X","","","X","","","","","","","X","","","","X","","","","","X","","","X","","","X","X","","","","","","","X","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"PeteStorm",321.656,48,"","X","","","","","X","","","X","","","","","X","X","","","","X","","","","","","X","","","","","","","","","X","","","X","","","X","","","","X","X","","","X","","","X","","","X","","","X","","","","X","","X","","","","X","","X","",""
"MDvedh",312.156,49,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","","X","","X","","","X","","","","X","","X","","","","","X","","","X"
"Floodkiller",311.462,50,"","","X","X","","","","X","","","","X","","X","","","X","","","X","","","","X","","X","","X","","","","","","","","X","","","X","","","X","","X","","X","","","","X","","X","","","","","","","","","","","","X","","","","X","","","","X"
"JLipinski",311.414,51,"","","X","","","","X","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","X","","","","","","X","","X","","","","X","X","","","","","X","","","","","","","","","","X","","","","X","","","","X"
"Gravenous",310.783,52,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","","","","X","","","","X","","","","","X","","X","","","X","","","X","","","X","","X","","","","X","","","X","","X","","","","","","X","","","","","X","","","X"
"Dowan",309.414,53,"","","X","","","","","X","","X","","","","","X","","X","","","X","","","X","","","","X","X","","","","","","","","X","","","X","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","","","X","","","X","","X",""
"armaa",307.896,54,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","X","","","","","X","X","","","X","","","","","X","","","","","","X","","X","","","","X","X","","","","X","","","","","X","","","","","","X","","","","","X","","","X"
"mbj2",305.999,55,"","","X","","","","","X","","","X","","X","","","","X","","","","X","X","","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","X","","","","","X","","","","","","","","","","X","","","","X","","","","X"
"araganzar",302.457,56,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","X","","","X","X","","","X","","","","","X","","","X","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","","X","","","X"
"100P",302.26,57,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","","X","","","","X","","X","","","","","X","X","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","X","","","","X","","","","X"
"gameguard",299.142,58,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","X","","","","X","","","","","","","","","","","","","X","","","","","","","","","X","","","","X","","","","","","","X","","","","X","","","","X","","","X"
"sleeves",295.499,59,"","","X","X","","","X","","","X","","","","","X","","X","","","X","","X","","","","","X","X","","","X","","","","","X","","","","","","X","X","","","X","","","X","","","","X","","","","","X","","","","","","","","X","","","X","","","X"
"Tasonir",290.13,60,"","","X","","","","X","","","","","X","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","","X","","X","","","X","","","X","","","","","","X","","","X","","","","","X","","","X","","","X"
"Sharkman1231",290.12,61,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","X","","","X","","","","","X","X","","","","X","","X","","","X","","","X","","","","","X","","X","","X","","","","","","","X","","","X","","","","X"
"magipi",284.189,62,"","","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","X","","","X","","","","","","","","","","X","","","","X","X","","","","X","","X","","","","","","X","","","X","","","","X","","","X","","","","X"
"Jannitor",279.46,63,"","X","","X","","","X","","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","X","","","X","","","","","X","","","X","","","","","X","","","","X","","","","","","X","","","","X","","X","",""
"jeanjacques",273.858,64,"","","X","","","","X","","","","X","","","X","","","X","","","X","","","","X","","X","","","","","","","","","","X","","X","","","","X","","","","","","","X","","","X","","","X","","","X","","","","X","","X","","","","X","","","","X"
"exolun",271.5,65,"","X","","X","","","X","","","X","","","","","X","X","","","","X","","","","X","","X","","","","","X","","","","X","","X","","","","X","","","X","","","","","X","","","X","","","X","","","X","","","X","","","","X","","","X","","","","X"
"rubinko",268.036,66,"","","","","","","","","X","","X","","","","","","X","","","","","","","X","","","","","","","X","","","","","X","","","X","","","","","","X","X","","","X","","","","X","","","","","X","","","","","","X","","","","","","","","X"
"heteroy",258.542,67,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","X","","","X","X","","","","","","","","","","","X","","X","","","X","","","","","","","","","X","","","","","X","","","","","","","","X","","","X","","","X"
"devlanmud",256.434,68,"","","X","","","","","","","","X","","","","","","X","","","","","","X","","","","","X","","","X","","","","X","","","","X","","","","","","X","","X","","X","","","","X","","","","","X","","","X","","","","","","","","","","","X"
"Placid",250.975,69,"","X","","X","","","","X","","","X","","","","X","X","","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","X","","","","","","","","","X","","","X","","","X","","","","","","X","","","","X","","","X",""
"lakren",247.839,70,"","X","","","","","X","","","","X","","","","X","X","","","","X","","","","X","","X","","X","","","X","","","","","X","","X","","","","X","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","X",""
"hyperimplojin",244.26,71,"","","X","X","","","","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","","","","","","","","","X","","","X","","","","","","","","","","X","","","","","","","","","","","","X","","X","","","","X"
